quiver exchange matrix,mutation acyclic,mutation abundant,mutation complete,mutation connected,mutation equivalent to a quiver with a mutation-cyclic 3-vertex subquiver,mutation finite,finite forkless part,finite preforkless part,surface quiver,mutation equivalent to a quiver with a vortex subquiver,totally proper,Alexander polynomial,number of vertices,determinant of exchange matrix,gcd vector,rank of exchange matrix,determinant of companion modulo 4,mutation cycle in class,minimum number of arrows in class,class index
[0 2 -6 2 -2 0 2 -1 6 -2 0 3 -2 1 -3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 2 -4 -6 -2 0 1 2 4 -1 0 1 6 -2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 2 -4 -2 -2 0 1 -2 4 -1 0 3 2 2 -3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 2 -4 4 -2 0 1 -3 4 -1 0 2 -4 3 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 2 -4 12 -2 0 1 -1 4 -1 0 -2 -12 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 2 -2 -4 -2 0 -2 1 2 2 0 -3 4 -1 3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 2 -2 -2 -2 0 -1 -1 2 1 0 -2 2 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 2 -2 -2 -2 0 -1 -1 2 1 0 2 2 1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 2 -2 2 -2 0 -2 -1 2 2 0 1 -2 1 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
[0 2 -2 2 -2 0 -1 1 2 1 0 2 -2 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,38,5
