quiver exchange matrix,mutation acyclic,mutation abundant,mutation complete,mutation connected,mutation equivalent to a quiver with a mutation-cyclic 3-vertex subquiver,mutation finite,finite forkless part,finite preforkless part,surface quiver,mutation equivalent to a quiver with a vortex subquiver,totally proper,Alexander polynomial,number of vertices,determinant of exchange matrix,gcd vector,rank of exchange matrix,determinant of companion modulo 4,mutation cycle in class,minimum number of arrows in class,class index
[0 2 2 2 -2 0 -2 -2 -2 2 0 2 -2 2 -2 0],T,NULL,NULL,T,F,F,NULL,NULL,F,F,T,[1 68 -122 68 1],4,16,[2 2 2 2],4,0,T,12,4
[0 -4 -6 2 4 0 2 -1 6 -2 0 -2 -2 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 -4 6 2 4 0 2 -1 -6 -2 0 4 -2 1 -4 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 -2 -6 4 2 0 4 -1 6 -4 0 2 -4 1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 -2 -2 -2 2 0 -2 -1 2 2 0 -2 2 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 -2 -2 -2 2 0 2 1 2 -2 0 2 2 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 -2 -2 2 2 0 -2 1 2 2 0 2 -2 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 -2 2 2 2 0 2 1 -2 -2 0 -2 -2 -1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 -2 6 -2 2 0 -2 1 -6 2 0 -4 2 -1 4 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 -2 6 -2 2 0 4 -1 -6 -4 0 2 2 1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 -2 6 4 2 0 -2 -1 -6 2 0 2 -4 1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 2 -6 -4 -2 0 2 1 6 -2 0 -2 4 -1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 2 -6 2 -2 0 -4 1 6 4 0 -2 -2 -1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 2 -6 2 -2 0 2 -1 6 -2 0 4 -2 1 -4 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 2 -2 -2 -2 0 -2 -1 2 2 0 2 2 1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 2 2 -2 -2 0 2 -1 -2 -2 0 -2 2 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 2 2 2 -2 0 -2 -1 -2 2 0 -2 -2 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 2 2 2 -2 0 2 1 -2 -2 0 2 -2 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 2 6 -4 -2 0 -4 1 -6 4 0 -2 4 -1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 4 -6 -2 -4 0 -2 1 6 2 0 -4 2 -1 4 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 4 6 -2 -4 0 -2 1 -6 2 0 2 2 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 57 -80 57 1],4,36,[2 1 2 1],4,0,T,17,5
[0 -10 6 -10 10 0 -2 1 -6 2 0 1 10 -1 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -6 -4 2 6 0 -1 -2 4 1 0 -1 -2 2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -6 2 -4 6 0 -2 -1 -2 2 0 1 4 1 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -6 2 2 6 0 3 -2 -2 -3 0 1 -2 2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -4 -6 2 4 0 1 -1 6 -1 0 -2 -2 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -4 -2 2 4 0 3 -1 2 -3 0 2 -2 1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -4 2 -6 4 0 -1 1 -2 1 0 2 6 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -4 2 -2 4 0 -1 3 -2 1 0 -2 2 -3 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -4 2 4 4 0 -1 2 -2 1 0 -3 -4 -2 3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -4 2 12 4 0 -1 -2 -2 1 0 -1 -12 2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -4 4 2 4 0 2 -1 -4 -2 0 3 -2 1 -3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -4 12 2 4 0 -2 -1 -12 2 0 1 -2 1 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -6 4 2 0 3 -1 6 -3 0 1 -4 1 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -4 2 2 0 -3 2 4 3 0 -1 -2 -2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 -2 2 0 -2 -1 2 2 0 -1 2 1 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 -2 2 0 -1 -2 2 1 0 1 2 2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 -2 2 0 -1 2 2 1 0 1 2 -2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 -2 2 0 1 1 2 -1 0 -2 2 -1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 -2 2 0 1 1 2 -1 0 2 2 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 -2 2 0 2 -1 2 -2 0 -1 2 1 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 2 2 0 -2 1 2 2 0 1 -2 -1 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 2 2 0 2 1 2 -2 0 1 -2 -1 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 4 2 0 -1 3 2 1 0 -1 -4 -3 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 4 2 0 1 -1 2 -1 0 3 -4 1 -3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 12 2 0 -1 1 2 1 0 -3 -12 -1 3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 -2 12 2 0 1 -3 2 -1 0 1 -12 3 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 2 -4 2 0 2 -3 -2 -2 0 1 4 3 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 2 -2 2 0 1 -2 -2 -1 0 -1 2 2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 2 -2 2 0 1 2 -2 -1 0 -1 2 -2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 2 2 2 0 1 2 -2 -1 0 1 -2 -2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 2 2 2 0 2 1 -2 -2 0 -1 -2 -1 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 2 6 2 0 1 -2 -2 -1 0 3 -6 2 -3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 4 -2 2 0 -1 1 -4 1 0 -3 2 -1 3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 4 -2 2 0 3 -1 -4 -3 0 1 2 1 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 4 4 2 0 -1 -1 -4 1 0 -2 -4 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 4 4 2 0 -1 -1 -4 1 0 2 -4 1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 6 2 2 0 -2 1 -6 2 0 -3 -2 -1 3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 12 -2 2 0 -3 1 -12 3 0 -1 2 -1 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 -2 12 -2 2 0 1 -1 -12 -1 0 3 2 1 -3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -6 -4 -2 0 2 1 6 -2 0 -1 4 -1 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -6 2 -2 0 -3 1 6 3 0 -2 -2 -1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -6 2 -2 0 2 -1 6 -2 0 3 -2 1 -3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -4 -6 -2 0 1 2 4 -1 0 1 6 -2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -4 -2 -2 0 1 -2 4 -1 0 3 2 2 -3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -4 4 -2 0 1 -3 4 -1 0 2 -4 3 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -4 12 -2 0 1 -1 4 -1 0 -2 -12 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -2 -4 -2 0 -2 1 2 2 0 -3 4 -1 3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -2 -2 -2 0 -1 -1 2 1 0 -2 2 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -2 -2 -2 0 -1 -1 2 1 0 2 2 1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -2 2 -2 0 -2 -1 2 2 0 1 -2 1 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -2 2 -2 0 -1 1 2 1 0 2 -2 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 -2 6 -2 0 -1 3 2 1 0 -2 -6 -3 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 2 -6 -2 0 -1 2 -2 1 0 -3 6 -2 3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 2 -2 -2 0 -1 -2 -2 1 0 -1 2 2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 2 -2 -2 0 1 -1 -2 -1 0 -2 2 1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 2 2 -2 0 -2 -1 -2 2 0 -1 -2 1 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 2 2 -2 0 -1 -2 -2 1 0 1 -2 2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 2 2 -2 0 -1 2 -2 1 0 1 -2 -2 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 2 2 -2 0 1 1 -2 -1 0 -2 -2 -1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 2 2 -2 0 1 1 -2 -1 0 2 -2 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 2 2 -2 0 2 -1 -2 -2 0 -1 -2 1 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 4 -4 -2 0 -3 1 -4 3 0 -2 4 -1 2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 6 -2 -2 0 3 -1 -6 -3 0 2 2 1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 2 12 -4 -2 0 -1 1 -12 1 0 2 4 -1 -2 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 4 -6 -2 -4 0 -1 1 6 1 0 -3 2 -1 3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 4 -4 2 -4 0 -2 3 4 2 0 -1 -2 -3 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 4 -2 -6 -4 0 1 -1 2 -1 0 3 6 1 -3 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 4 -2 -2 -4 0 -3 1 2 3 0 -1 2 -1 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 4 -2 -2 -4 0 1 -3 2 -1 0 1 2 3 -1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 4 -2 4 -4 0 1 -2 2 -1 0 -1 -4 2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
[0 4 -2 4 -4 0 1 2 2 -1 0 -1 -4 -2 1 0],T,F,NULL,T,F,F,F,NULL,F,F,T,[1 40 -66 40 1],4,16,[2 1 1 1],4,0,T,30,6
